Title,Abstract,Code Repository Link,Dataset Link,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI ,"Magnetic Resonance Imaging (MRI) acceleration techniques using k-space sub-sampling (KS) can greatly improve the efficiency of MRI-based stroke diagnosis. Although Deep Neural Networks (DNN) have shown great potential on stroke lesion recognition tasks when the MR images are reconstructed from the full k-space, they are vulnerable to the lower quality MR images generated by KS. In this paper, we propose a Distributionally Robust Learning (DRL) approach to improve the performance of stroke recognition DNN models when the MR images are reconstructed from the sub-sampled k-space. For Convolutional Neural Network (CNN) and Vision Transformer (ViT)-based models, our methods improve the stroke classification AUROC and AUPRC by up to 11.91% and 9.32% on the KS-perturbed brain MR images, respectively, compared against Empirical Risk Minimization (ERM) and other baseline defensive methods. We further show that DRL models can successfully recognize the stroke cases from highly perturbed MR images where clinicians may fail, which provides a solution for improved diagnosis in an accelerated MRI setting.",https://github.com/noc-lab/drl_mri,https://brain-development.org/ixi-dataset/,Computer Aided Diagnosis,MRI,Treatment Response and Outcome/Disease Prediction,,,,,,,
Diversity-preserving Chest Radiographs Generation from Reports in One Stage ,"Automating the analysis of chest radiographs based on deep learning algorithms has the potential to improve various steps of the radiology workflow. Such algorithms require large, labeled and domain-specific datasets, which are difficult to obtain due to privacy concerns and laborious annotations. Recent advances in generating X-rays from radiology reports provide a possible remedy for this problem. However, due to the complexity of medical images, existing methods synthesize low-fidelity X-rays and cannot guarantee image diversity. In this paper, we propose a diversity-preserving report-to-X-ray generation method with one-stage architecture, named DivXGAN. Specifically, we design a domain-specific hierarchical text encoder to extract medical concepts inherent in reports. This information is incorporated into a one-stage generator, along with the latent vectors, to generate diverse yet relevant X-ray images. Extensive experiments on two widely used datasets, namely Open-i and MIMIC-CXR, demonstrate the high fidelity and diversity of our synthesized chest radiographs. Furthermore, we demonstrate the efficacy of the generated X-rays in facilitating supervised downstream applications via a multi-label classification task.",,,Computer Aided Diagnosis,Other,other,Text (clinical/radiology reports),,,,,,
DMCVR: Morphology-Guided Diffusion Model for 3D Cardiac Volume Reconstruction ,"Accurate 3D cardiac reconstruction from cine magnetic resonance imaging (cMRI) is crucial for improved cardiovascular disease diagnosis and understanding of the heart’s motion. However, current cardiac MRI-based reconstruction technology used in clinical settings is 2D with limited through-plane resolution, resulting in low-quality reconstructed cardiac volumes. To better reconstruct 3D cardiac volumes from sparse 2D image stacks, we propose a morphology-guided diffusion model for 3D cardiac volume reconstruction, DMCVR, that synthesizes high-resolution 2D images and corresponding 3D reconstructed volumes. Our method outperforms previous approaches by conditioning the cardiac morphology on the generative model, eliminating the time-consuming iterative optimization process of the latent code, and improving generation quality. The learned latent spaces provide global semantics, local cardiac morphology and details of each 2D cMRI slice with highly interpretable value to reconstruct 3D cardiac shape. Our experiments show that DMCVR is highly effective in several aspects, such as 2D generation and 3D reconstruction performance. With DMCVR, we can produce high-resolution 3D cardiac MRI reconstructions, surpassing current techniques. Our proposed framework has great potential for improving the accuracy of cardiac disease diagnosis and treatment planning. Code can be accessed at https://github.com/hexiaoxiao-cs/DMCVR.",https://github.com/hexiaoxiao-cs/DMCVR,https://www.ukbiobank.ac.uk,Cardiac,Image Reconstruction,MRI,,,,,,,
Do we really need that skip-connection? Understanding its interplay with task complexity ,"The U-Net architecture has become the preferred model used for medical image segmentation tasks. Since its inception, several variants have been proposed. An important component of the U-Net architecture is the use of skip-connections, said to carry over image details on its decoder branch at different scales. However, beyond this intuition, not much is known as to what extent skip-connections of the U-Net are necessary, nor what their interplay is in terms of model robustness when they are subjected to different levels of task complexity. In this study we analyzed these questions using three variants of the UNet architecture (the standard U-Net, a “No-Skip” U-Net, and an Attention-Gated U-Net) using controlled experiments on varying synthetic texture images, and evaluated these findings on three medical image data sets. We measured task complexity as a function of texture-based similarities between foreground and background distributions.  Using this scheme, our findings suggest that the benefit of employing skip-connections is small for low-to-medium complexity tasks, and its benefit appear only when the task complexity becomes large. We report that such incremental benefit is non-linear, with the attention-gate U-Net yielding larger improvements.  Furthermore, we find that these benefits also bring along robustness degradations on clinical data sets, particularly in out-of-domain scenarios. These results suggest a dependency between task complexity and the choice/design of noise-resilient skip-connections, indicating the need for careful consideration while using these skip-connections.",https://github.com/amithjkamath/to_skip_or_not,https://scholar.cu.edu.eg/Dataset_BUSI.zip,Image Segmentation,Abdomen,Breast,Cardiac,Interpretability / Explainability,Model Generalizability / Federated Learning,CT,MRI,Ultrasound,
Domain Adaptation for Medical Image Segmentation using Transformation-Invariant Self-Training ,"Models capable of leveraging unlabelled data are crucial in overcoming large distribution gaps between the acquired datasets across different imaging devices and configurations. In this regard, self-training techniques based on pseudo-labeling have been shown to be highly effective for semi-supervised domain adaptation. However, the unreliability of pseudo labels can hinder the capability of self-training techniques to induce abstract representation from the unlabeled target dataset, especially in the case of large distribution gaps. 
Since the neural network performance should be invariant to image transformations, we look to this fact to identify uncertain pseudo labels. Indeed, we argue that transformation invariant detections can provide more reasonable approximations of ground truth. Accordingly, we propose a semi-supervised learning strategy for domain adaptation termed transformation-invariant self-training (TI-ST). The proposed method assesses pixel-wise pseudo-labels’ reliability and filters out unreliable detections during self-training. We perform comprehensive evaluations for domain adaptation using three different modalities of medical images, two different network architectures, and several alternative state-of-the-art domain adaptation methods. Experimental results confirm the superiority of our proposed method in mitigating the lack of target domain annotation and boosting segmentation performance in the target domain.",https://github.com/Negin-Ghamsarian/Transformation-Invariant-Self-Training-MICCAI23,,Semi-/Weakly-/Un-/Self-supervised Representation Learning,Ophthalmology,Image Segmentation,Video,,,,,,
Domain-agnostic segmentation of thalamic nuclei from joint structural and diffusion MRI ,"The human thalamus is a subcortical brain structure that comprises dozens of nuclei with different function and connectivity, which are affected differently by disease. For this reason, there is growing interest in studying the thalamic nuclei in vivo with MRI. Tools are available to segment the thalamus from 1 mm T1 scans, but the image contrast is too faint to produce reliable segmentations. Some tools have attempted to refine these boundaries using diffusion MRI information, but do not generalise well across diffusion MRI acquisitions. Here we present the first CNN that can segment thalamic nuclei from T1 and diffusion data of any resolution without retraining or fine tuning. Our method builds on our histological atlas of the thalamic nuclei and silver standard segmentations on high-quality diffusion data obtained with our recent Bayesian adaptive segmentation tool. We combine these with an approximate degradation model for fast domain randomisation during training. Our CNN produces a segmentation at 0.7 mm isotropic resolution, irrespective of the resolution of the input. Moreover, it uses a parsimonious model of the diffusion signal (fractional anisotropy and principal eigenvector) that is compatible with virtually any set of directions and b-values, including huge amounts of legacy data. We show results of our proposed method on three heterogeneous datasets acquired on dozens of different scanners. The method is publicly available at freesurfer.net/fswiki/ThalamicNucleiDTI.",https://github.com/htregidgo/joint_diffusion_structural_seg,https://www.humanconnectome.org/,Neuroimaging - DWI and Tractography,Neuroimaging - Others,Image Segmentation,MRI,,,,,,
DOMINO++: Domain-aware Loss Regularization for Deep Learning Generalizability ,"Out-of-distribution (OOD) generalization poses a serious chal-
lenge for modern deep learning (DL). OOD data consists of test data that
is significantly different from the model’s training data. DL models that
perform well on in-domain test data could struggle on OOD data. Over-
coming this discrepancy is essential to the reliable deployment of DL.
Proper model calibration decreases the number of spurious connections
that are made between model features and class outputs. Hence, cal-
ibrated DL can improve OOD generalization by only learning features
that are truly indicative of the respective classes. Previous work proposed
domain-aware model calibration (DOMINO) to improve DL calibration,
but it lacks designs for model generalizability to OOD data. In this
work, we propose DOMINO++, a dual-guidance and dynamic domain-
aware loss regularization focused on OOD generalizability. DOMINO++
integrates expert-guided and data-guided knowledge in its regulariza-
tion. Unlike DOMINO which imposed a fixed scaling and regularization
rate, DOMINO++ designs a dynamic scaling factor and an adaptive reg-
ularization rate. Comprehensive evaluations compare DOMINO++ with
DOMINO and the baseline model for head tissue segmentation from mag-
netic resonance images (MRIs) on OOD data. The OOD data consists of
synthetic noisy and rotated datasets, as well as real data using a different
MRI scanner from a separate site. DOMINO++’s superior performance
demonstrates its potential to improve the trustworthy deployment of DL
on real clinical data.",,,Image Segmentation,Model Generalizability / Federated Learning,Uncertainty,MRI,,,,,,
Dose Guidance for Radiotherapy-oriented Deep Learning Segmentation ,"Deep learning-based image segmentation for radiotherapy is intended to speed up the planning process and yield consistent results. However, most of these segmentation methods solely rely on distribution and geometry-associated training objectives without considering tumor control and the sparing of healthy tissues. To incorporate dosimetric effects into segmentation models, we propose a new training loss function that extends current state-of-the-art segmentation model training via a dose-based guidance method. We hypothesized that adding such a dose-guidance mechanism improves the robustness of the segmentation with respect to the dose (i.e., resolves distant outliers and focuses on locations of high dose/dose gradient). We demonstrate the effectiveness of the proposed method on Gross Tumor Volume segmentation for glioblastoma treatment. The obtained dosimetry-based results show reduced dose errors relative to the ground truth dose map using the proposed dosimetry-segmentation guidance, outperforming state-of-the-art distribution and geometry-based segmentation losses.",https://github.com/ruefene/doselo,,Image Segmentation,Guided Interventions and Surgery,MRI,,,,,,,
DRMC: A Generalist Model with Dynamic Routing for Multi-Center PET Image Synthesis ,"Multi-center positron emission tomography (PET) image synthesis aims at recovering low-dose PET images from multiple different centers. The generalizability of existing methods can still be suboptimal for a multi-center study due to domain shifts, which result from non-identical data distribution among centers with different imaging systems/protocols. While some approaches address domain shifts by training specialized models for each center, they are parameter inefficient and do not well exploit the shared knowledge across centers. To address this, we develop a generalist model that shares architecture and parameters across centers to utilize the shared knowledge. However, the generalist model can suffer from the center interference issue, i.e. the gradient directions of different centers can be inconsistent or even opposite owing to the non-identical data distribution. To mitigate such interference, we introduce a novel dynamic routing strategy with cross-layer connections that routes data from different centers to different experts. Experiments show that our generalist model with dynamic routing (DRMC) exhibits excellent generalizability across centers. Code and data are available at: https://github.com/Yaziwel/Multi-Center-PET-Image-Synthesis.",https://github.com/Yaziwel/Multi-Center-PET-Image-Synthesis,,PET/SPECT,Image Reconstruction,,,,,,,,
Dual Arbitrary Scale Super-Resolution for Multi-Contrast MRI ,"Limited by the drawbacks of imaging systems, the reconstruction of Magnetic Resonance Imaging (MRI) images from partial measurement is an important problem in medical imaging research. Benefiting from the diverse and complementary information of multi-contrast MR images in different imaging modalities, multi-contrast super-resolution (SR) reconstruction is promising to yield SR images with higher quality. In the medical scenario, to fully visualize the lesion, radiologists are accustomed to zooming the MR images at arbitrary scales rather than using a fixed scale, as used by most MRI SR methods. What’s more, existing multi-contrast MRI SR methods often require a fixed resolution for the reference image, which makes the acquisition of reference images difficult and imposes limitations on arbitrary scale SR tasks. To address these issues, we proposed a dual-arbitrary multi-contrast MRI super-resolution method, called Dual-ArbNet. First, we decouple the resolution of the target and reference images by a feature encoder, enabling the network to input target and reference images at arbitrary scales. Then, an implicit fusion decoder fuses the multi-contrast features and use a Implicit Decoding Function~(IDF) to obtain the final MRI SR results. Furthermore, we applied the curriculum learning to train our Dual-ArbNet in several stages. Extensive experiments in two public MRI datasets demonstrate that our method outperforms state-of-the-art approaches under different scale factors and has great potential to be applied in clinical practice.",https://github.com/jmzhang79/Dual-ArbNet,http://brain-development.org/ixi-dataset/,Image Reconstruction,Computer Aided Diagnosis,Attention models,MRI,,,,,,
Dual Conditioned Diffusion Models for Out-Of-Distribution Detection: Application to Fetal Ultrasound Videos ,"Out-of-distribution (OOD) detection is essential to improve the reliability of machine learning models by detecting samples that do not belong to the training distribution. Detecting OOD samples effectively in certain tasks can pose a challenge because of the substantial heterogeneity within the in-distribution (ID), and the high structural similarity between ID and OOD classes. For instance, when detecting heart views in fetal ultrasound videos there is a high structural similarity between the heart and other anatomies such as the abdomen, and large in-distribution variance as a heart has 5 distinct views and structural variations within each view. To detect OOD samples in this context, the resulting model should generalise to the intra-anatomy variations while rejecting similar OOD samples. In this paper, we introduce dual- conditioned diffusion models (DCDM) where we condition the model on in-distribution class information and latent features of the input image for reconstruction-based OOD detection. This constrains the generative manifold of the model to generate images structurally and semantically similar to those within the in-distribution. The proposed model out- performs reference methods with a 12% improvement in accuracy, 22% higher precision, and an 8% better F1 score.",https://github.com/FetalUltrasound/DCDM,,Semi-/Weakly-/Un-/Self-supervised Representation Learning,Fetal Imaging,Ultrasound,,,,,,,
Dual Domain Motion Artifacts Correction for MR Imaging Under Guidance of K-space Uncertainty ,"Magnetic resonance imaging (MRI) may degrade with motion artifacts in the reconstructed MR images due to the long acquisition time. In this paper, we propose a dual domain motion correction network (D2MC-Net) to correct the motion artifacts in 2D multi-slice MRI. Instead of explicitly estimating the motion parameters, we model the motion corruption by k-space uncertainty to guide the MRI reconstruction in an unfolded deep reconstruction network. Specifically, we model the motion correction task as a dual domain regularized model with an uncertainty-guided data consistency term. Inspired by its alternating iterative optimization algorithm, the D2MC-Net is composed of multiple stages, and each stage consists of a k-space uncertainty module (KUModule) and a dual domain reconstruction module (DDR-Module). The KU-Module quantifies the uncertainty of k-space corruption by motion. The DDR-Module reconstructs motion-free k-space data and MR image in both k-space and image domain, under the guidance of the k-space uncertainty. Extensive experiments on fastMRI dataset demonstrate that the proposed D2MC-Net outperforms state-of-the-art methods under different motion trajectories and motion severities.",https://github.com/Jiazhen-Wang/D2MC-Net-main,,Image Reconstruction,MRI,,,,,,,,
DULDA: Dual-domain Unsupervised Learned Descent Algorithm for PET image reconstruction ,"Deep learning based PET image reconstruction methods have achieved promising results recently. However, most of these methods follow a supervised learning paradigm, which rely heavily on the availability of high-quality training labels. In particular, the long scanning time required and high radiation exposure associated with PET scans make obtaining these labels impractical. In this paper, we propose a dual-domain unsupervised PET image reconstruction method based on learned descent algorithm, which reconstructs high-quality PET images from sinograms without the need for image labels. Specifically, we unroll the proximal gradient method with a learnable l2,1 norm for PET image reconstruction problem. The training is unsupervised, using measurement domain loss based on deep image prior as well as image domain loss based on rotation equivariance property. The experimental results demonstrate the superior performance of proposed method compared with maximum-likelihood expectation–maximization (MLEM), total-variation regularized EM (EM-TV) and deep image prior based method (DIP).",,,Image Reconstruction,PET/SPECT,,,,,,,,
Dynamic Curriculum Learning via In-Domain Uncertainty for Medical Image Classification ,"This paper presents an innovative approach to curriculum learning, which is a technique used to train learning models. Curriculum learning is inspired by the way humans learn, starting with simple examples and gradually progressing to more challenging ones. There are currently two main types of curriculum learning: fixed curriculum generated by transfer learning, and self-paced learning based on loss functions. However, these methods have limitations that can hinder their effectiveness. To overcome these limitations, this article proposes a new approach called Dynamic Curriculum Learning via in-domain uncertainty (DCLU), which is derived from uncertainty estimation. The proposed approach utilizes a Dirichlet distribution classifier to obtain prediction and uncertainty estimates from the network, which can be used as a metric to quantify the difficulty level of the data. An uncertainty-aware sampling pacing function is also introduced to adapt the curriculum according to the difficulty metric. This new approach has been evaluated on two medical image datasets, and the results show that it outperforms
other curriculum learning methods. The source code for this approach will be released at https://github.com/Joey2117/DCLU.",https://github.com/Joey2117/DCLU,,Computer Aided Diagnosis,Dermatology,Lung,Uncertainty,Treatment Response and Outcome/Disease Prediction,,,,,
Dynamic Functional Connectome Harmonics ,"Functional connectivity (FC)gradients'' enable the investigation of connection topography of cognitive hierarchies and yield the primary axes along which FC is organized. In this work, we employ a variant of thegradient’’ approach wherein we solve for the normal modes of FC, yielding functional connectome harmonics. Until now, research in this vein has only considered static FC, neglecting the possibility that the principal axes of FC may depend on the timescale at which they are computed. Recent work suggests that momentary activation patterns, or brain states, mediate the dominant components of functional connectivity, suggesting that the principal axes may be invariant to change in timescale. In light of this, we compute functional connectome harmonics using time windows of varying lengths and demonstrate that they are stable across timescales. Our connectome harmonics correspond to meaningful brain states. The activation strength of the brain states and their inter-relationships are found to be reproducible for individuals. Further, we utilize our time-varying functional connectome harmonics to formulate a simple and elegant method for computing cortical flexibility at vertex resolution. Finally, we demonstrate qualitative similarity between flexibility maps from our method and a method standard in the literature.",,,Neuroimaging - Functional Brain Networks,Other,MRI,,,,,,,
Dynamic Graph Neural Representation Based Multi-modal Fusion Model for Cognitive Outcome Prediction in Stroke Cases ,"The number of stroke patients is growing worldwide and half of them will suffer from cognitive impairment. Therefore, the prediction of PSCI becomes more and more important. However, the determinants and mechanisms of PSCI are still insufficiently understood, making this task challenging. In this paper, we propose a multi-modal fusion model to solve this task. First, dynamic graph neural representation is proposed to utilize and integrate multi-modal information, i.e. clinical tabular data and image data, which can divide them into node-level and global-level properties, instead of processing these data uniformly. Second, considering the variability of patient brain anatomy, a subject-specific undirected graph is constructed based on the connections among 131 brain anatomical regions segmented from image data, while first-order statistical features are extracted from each brain region and internal stroke lesions as node features. Meanwhile, a novel missing information compensation module is proposed to reduce the impact of missing elements in tabular data. In dynamic graph neural representation, two kinds of attention mechanisms are embedded, which encourage the model to automatically localize brain anatomical regions that are highly relevant to this task. One is node attention established between global tabular neural representation and nodes, the other is multi-head graph self-attention which changes the static undirected graph to several dynamic directed graphs and optimizes the broadcasting process of the graph. The proposed method achieves the best overall performance with a balanced accuracy score of 79.6%, outperforming the competing models.The code is publicly available at github.com/fightingkitty/MHGSA",https://github.com/fightingkitty/MHGSA,,Imaging Biomarkers,Neuroimaging - Others,Attention models,Other,MRI,Treatment Response and Outcome/Disease Prediction,,,,
Dynamic Structural Brain Network Construction by Hierarchical Prototype Embedding GCN using T1-MRI ,"Constructing structural brain networks using T1-weighted MRI (T1-MRI) presents a significant challenge due to the lack of direct regional connectivity. Current methods with T1-MRI rely on predefined regions or isolated pretrained modules to localize atrophy regions, which neglects individual specificity. Besides, existing methods capture global structural context only on the whole-image-level, which weaken correlation between regions and the hierarchical distribution nature of brain structure. We hereby propose a novel dynamic structural brain network construction method based on T1-MRI, which can dynamically localize critical regions and constrain the hierarchical distribution among them. Specifically, we first cluster spatially-correlated channel and generate several critical brain regions as prototypes. Then, we introduce a contrastive loss function to constrain the prototypes distribution, which embed the hierarchical brain semantic structure into the latent space. Self-attention and GCN are then used to dynamically construct hierarchical correlations of critical regions for brain network and explore the correlation, respectively. Our method is trained on ADNI-1 and tested on ADNI-2 databases for mild cognitive impairment (MCI) conversion prediction, and acheive the state-of-the-art (SOTA) performance.",https://github.com/Leng-10/DH-ProGCN,https://adni.loni.usc.edu/,Neuroimaging - Others,Neuroimaging - Functional Brain Networks,Computer Aided Diagnosis,Interpretability / Explainability,Other,MRI,,,,
EchoGLAD: Hierarchical Graph Neural Networks for Left Ventricle Landmark Detection on Echocardiograms ,"The functional assessment of the left ventricle chamber of the heart requires detecting four landmark locations and measuring the internal dimension of the left ventricle and the approximate mass of the surrounding muscle.
The key challenge of automating this task with machine learning is the sparsity of clinical labels, i.e., only a few landmark pixels in a high-dimensional image are annotated, leading many prior works to heavily rely on isotropic label smoothing. 
However, such a label smoothing strategy ignores the anatomical information of the image and induces some bias. To address this challenge, we introduce an echocardiogram-based, hierarchical graph neural network (GNN) for left ventricle landmark detection (EchoGLAD). Our main contributions are: 1) a hierarchical graph representation learning framework for multi-resolution landmark detection via GNNs; 2) induced hierarchical supervision at different levels of granularity using a multi-level loss.  We evaluate our model on a public and a private dataset under the in-distribution (ID) and out-of-distribution (OOD) settings. For the ID setting, we achieve the state-of-the-art mean absolute errors (MAEs) of 1.46 mm and 1.86 mm on the two datasets. Our model also shows better OOD generalization than prior works with a testing MAE of 4.3 mm.",https://github.com/MasoudMo/echoglad,https://data.unityimaging.net/,Image Segmentation,Cardiac,Model Generalizability / Federated Learning,Ultrasound,Video,,,,,
ECL: Class-Enhancement Contrastive Learning for Long-tailed Skin Lesion Classification ,"Skin image datasets often suffer from imbalanced data distribution, exacerbating the difficulty of computer-aided skin disease diagnosis.  Some recent works exploit supervised contrastive learning (SCL) for this long-tailed challenge. Despite achieving significant performance, these SCL-based methods focus more on head classes, yet ignoring the utilization of information in tail classes. In this paper, we propose class-Enhancement Contrastive Learning (ECL), which enriches the information of minority classes and treats different classes equally. For information enhancement, we design a hybrid-proxy model to generate class-dependent proxies and propose a cycle update strategy for parameters optimization. A balanced-hybrid-proxy loss is designed to exploit relations between samples and proxies with different classes treated equally. Taking both “imbalanced data” and “imbalanced diagnosis difficulty” into account, we further present a balanced-weighted cross-entropy loss following curriculum learning schedule. Experimental results on the classification of imbalanced skin lesion data have demonstrated the superiority and effectiveness of our method. The codes can be publicly available from https://github.com/zylbuaa/ECL.git.",https://github.com/zylbuaa/ECL.git,,Other,Dermatology,Computer Aided Diagnosis,,,,,,,
EdgeAL: An Edge Estimation Based Active Learning Approach for OCT Segmentation ,"Active learning algorithms have become increasingly popular
for training models with limited data. However, selecting data for annotation remains a challenging problem due to the limited information available on unseen data. To address this issue, we propose EdgeAL, which
utilizes the edge information of unseen images as a priori information for
measuring uncertainty. The uncertainty is quantified by analyzing the di-
vergence and entropy in model predictions across edges. This measure
is then used to select superpixels for annotation. We demonstrate the
effectiveness of EdgeAL on multi-class Optical Coherence Tomography
(OCT) segmentation tasks, where we achieved a 99% Dice score while
reducing the annotation label cost to 12%, 2.3%, and 3%, respectively,
on three publicly available datasets (Duke, AROI, and UMN).",https://github.com/Mak-Ta-Reque/EdgeAL,https://ipg.fer.hr/ipg/resources/oct_image_database,Active Learning,Ophthalmology,Image Segmentation,CT,,,,,,
Edge-aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI ,"Simultaneous multi-index quantification, segmentation, and uncertainty estimation of liver tumors on multi-modality non-contrast magnetic resonance imaging (NCMRI) are crucial for accurate diagnosis. However, current methods do not have an effective mechanism for multi-modality NCMRI fusion and accurate boundary information capture, which makes these tasks challenging. To address these issues, this paper proposes a unified framework, called edge-aware multi-task network (EaMtNet), to associate multi-index quantification, segmentation, and uncertainty of liver tumors on multi-modality NCMRI. The EaMtNet is made edge-aware by using the newly designed edge-aware feature aggregation module (EaFA) for feature fusion and selection, which captures long-range dependency between feature and edge maps. Multi-tasking improves segmentation and quantification performance by leveraging prediction discrepancy to estimate uncertainty. Extensive experiments are performed on multi-modality NCMRI with 250 clinical subjects. The proposed model outperforms the state-of-the-art by a large margin, which demonstrate the potential of EaMtNet as a reliable clinical-aided tool for medical image analysis.",,,Image Segmentation,MRI,,,,,,,,
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness ,"Lyme disease is a severe skin disease caused by tick bites, which affects hundreds of thousands of people. One task in diagnosing Lyme disease is lesion segmentation, i.e., separating benign skin from lesions, which can not only help clinicians to focus on lesions but also improve downstream tasks such as disease classification. However, it is challenging to segment Lyme disease lesions due to the lack of well-segmented, labeled Lyme datasets and the nature of Lyme, e.g., the typical bull’s eye lesion and its closeness to normal skin. In this paper, we design a simple yet novel data preprocessing and alteration method, called EdgeMixup, to help segment Lyme lesions on imbalanced training datasets. The key insight is to deploy a linear combination of lesion edge, either detected or computed, and the source image highlights the affected lesion area so that a learning model focuses more on the preserved lesion structure instead of skin tone, thus iteratively improving segmentation performance. Additionally, the improved edge from lesion segmentation can be further used for Lyme disease classification—e.g., in differentiating Lyme from other similar lesions including tinea corporis and herpes zoster—with improved model fairness on different subpopulations.",https://github.com/Haolin-Yuan/EdgeMixup,https://github.com/Haolin-Yuan/EdgeMixup,Image Segmentation,Dermatology,,,,,,,,
Efficient Spatiotemporal Learning of Microscopic Video for Augmented Reality-Guided Phacoemulsification Cataract Surgery ,"Phacoemulsification cataract surgery (PCS) is typically performed under a surgical microscope and adhering to standard procedures. The success of this surgery depends heavily on the seniority and experience of the ophthalmologist performing it. In this study, we developed an augmented reality (AR) guidance system to enhance the intraoperative skills of ophthalmologists by proposing a two-stage spatiotemporal learning network for surgical microscope video recognition. In the first stage, we designed a multi-task network that recognizes surgical phases and segments the limbus region to extract limbus-focused spatial features. In the second stage, we developed a temporal pyramid-based spatiotemporal feature aggregation (TP-SFA) module that uses causal and dilated temporal convolution for smooth and online surgical phase recognition. To provide phase-specific AR guidance, we designed several intraoperative visual cues based on the parameters of the fitted limbus ellipse and the recognized surgical phase. The comparison experiments results indicate that our method outperforms several strong baselines in surgical phase recognition. Furthermore, ablation experiments show the positive effects of the multi-task feature extractor and TP-SFA module. Our developed system has the potential for clinical application in PCS to provide real-time intraoperative AR guidance.",,,Ophthalmology,Guided Interventions and Surgery,Microscopy,,,,,,,
Efficient Subclass Segmentation in Medical Images ,"As research interests in medical image analysis become increasingly fine-grained, the cost for extensive annotation also rises. One feasible way to reduce the cost is to annotate with coarse-grained superclass labels while using limited fine-grained annotations as a complement. In this way, fine-grained data learning is assisted by ample coarse annotations. Recent studies in classification tasks have adopted this method to achieve satisfactory results. However, there is a lack of research on efficient learning of fine-grained subclasses in semantic segmentation tasks. In this paper, we propose a novel approach that leverages the hierarchical structure of categories to design network architecture. Meanwhile, a task-driven data generation method is presented to make it easier for the network to recognize different subclass categories. Specifically, we introduce a Prior Concatenation module that enhances confidence in subclass segmentation by concatenating predicted logits from the superclass classifier, a Separate Normalization module that stretches the intra-class distance within the same superclass to facilitate subclass segmentation, and a HierarchicalMix model that generates high-quality pseudo labels for unlabeled samples by fusing only similar superclass regions from labeled and unlabeled images. Our experiments on the Brats2021 and ACDC datasets demonstrate that our approach achieves comparable accuracy to a model trained with full subclass annotations, with limited subclass annotations and sufficient superclass annotations. Our approach offers a promising solution for efficient fine-grained subclass segmentation in medical images. Our code is publicly available here.",https://github.com/OvO1111/EfficientSubclassLearning,https://www.creatis.insa-lyon.fr/Challenge/acdc/databases.html,Data Efficient Learning,Image Segmentation,MRI,,,,,,,
EGE-UNet: an Efficient Group Enhanced UNet for skin lesion segmentation ,"Transformer and its variants have been widely used for medical image segmentation. However, the large number of parameter and computational load of these models make them unsuitable for mobile health applications. To address this issue, we propose a more efficient approach, the Efficient Group Enhanced UNet (EGE-UNet). We incorporate a Group multi-axis Hadamard Product Attention module (GHPA) and a Group Aggregation Bridge module (GAB) in a lightweight manner. The GHPA groups input features and performs Hadamard Product Attention mechanism (HPA) on different axes to extract pathological information from diverse perspectives. The GAB effectively fuses multi-scale information by grouping low-level features, high-level features, and a mask generated by the decoder at each stage. Comprehensive experiments on the ISIC2017 and ISIC2018 datasets demonstrate that EGE-UNet outperforms existing state-of-the-art methods. In short, compared to the TransFuse, our model achieves superior segmentation performance while reducing parameter and computation costs by 494x and 160x, respectively. Moreover, to our best knowledge, this is the first model with a parameter count limited to just 50KB. Our code is available at https://github.com/JCruan519/EGE-UNet.",https://github.com/JCruan519/EGE-UNet,ISIC2017: https://challenge.isic-archive.com/data/#2017,Image Segmentation,Computer Aided Diagnosis,Attention models,,,,,,,
Elongated Physiological Structure Segmentation via Spatial and Scale Uncertainty-aware Network ,"Robust and accurate segmentation for elongated physiological structures is challenging, especially in the ambiguous region, such as  the corneal endothelium microscope image with uneven illumination or the fundus image with disease interference. In this paper, we present a  spatial and scale uncertainty-aware network (SSU-Net) that fully uses both spatial and scale uncertainty to highlight ambiguous regions and integrate hierarchical structure contexts. First, we estimate epistemic and aleatoric spatial uncertainty maps using Monte Carlo dropout to approximate Bayesian networks. Based on these spatial uncertainty maps, we propose the gated soft uncertainty-aware (GSUA) module to guide the model to focus on ambiguous regions. Second, we extract the uncertainty under different scales and propose the multi-scale uncertainty-aware (MSUA) fusion module to integrate  structure contexts from hierarchical predictions, strengthening the final prediction. Finally, we visualize the uncertainty map of final prediction, providing interpretability for segmentation results. Experiment results show that the SSU-Net performs best on cornea endothelial cell and retinal vessel segmentation tasks. Moreover, compared with counterpart uncertainty-based methods, SSU-Net is more accurate and robust.",,,Image Segmentation,Ophthalmology,Uncertainty,Microscopy,other,,,,,
